time,total_norm,trans_prob,ref_prob,avg_x_p_ref,avg_x_b_ref,avg_x_p_trans,avg_x_b_trans
2.00, 1.000002e+00,5.000610e-01,4.999411e-01,-9.509179e-01,1.931608e-02,1.009759e+00,9.417300e-05
2.50, 1.000000e+00,5.000675e-01,4.999325e-01,-1.436228e+00,2.911675e-02,1.514647e+00,9.604782e-05
3.00, 1.000000e+00,5.000675e-01,4.999325e-01,-1.921523e+00,3.892018e-02,2.019546e+00,9.556535e-05
3.50, 1.000000e+00,5.000675e-01,4.999325e-01,-2.406818e+00,4.872362e-02,2.524446e+00,9.507554e-05
4.00, 1.000000e+00,5.000675e-01,4.999325e-01,-2.892113e+00,5.852706e-02,3.029346e+00,9.458567e-05
4.50, 1.000000e+00,5.000675e-01,4.999325e-01,-3.377408e+00,6.833051e-02,3.534245e+00,9.409581e-05
5.00, 1.000000e+00,5.000675e-01,4.999325e-01,-3.862704e+00,7.813395e-02,4.039145e+00,9.360594e-05
5.50, 1.000000e+00,5.000675e-01,4.999325e-01,-4.347999e+00,8.793739e-02,4.544045e+00,9.311607e-05
6.00, 1.000000e+00,5.000675e-01,4.999325e-01,-4.833294e+00,9.774083e-02,5.048944e+00,9.262621e-05
6.50, 1.000000e+00,5.000675e-01,4.999325e-01,-5.318589e+00,1.075443e-01,5.553844e+00,9.213634e-05
7.00, 1.000000e+00,5.000675e-01,4.999325e-01,-5.803884e+00,1.173477e-01,6.058744e+00,9.164648e-05
7.50, 1.000000e+00,5.000675e-01,4.999325e-01,-6.289179e+00,1.271512e-01,6.563643e+00,9.115661e-05
8.00, 1.000000e+00,5.000675e-01,4.999325e-01,-6.774474e+00,1.369546e-01,7.068543e+00,9.066674e-05
